Game,Time,Team,TEAM,ENEMY,FGM,FG_PCT,FG3M,FG3_PCT,FTM,FT_PCT,OREB,DREB,AST,TOV,PF,PTS
1,3,12,LAC,PHX,41.08,-1.07,7.62,-1.30,19.84,1.13,10.93,34.58,23.25,12.76,22.26,109.62
1,3,13,LAL,SEA,39.29,0.59,8.73,-0.45,19.51,1.06,10.72,34.83,24.29,14.81,22.89,106.81
1,3,14,MEM,DET,34.96,0.62,7.38,-0.06,18.56,1.62,11.50,31.19,21.97,13.25,21.60,95.87
1,3,15,MIA,PHI,34.12,0.45,6.73,-0.56,17.24,1.59,9.89,31.83,21.16,14.09,20.54,92.22
1,3,16,MIL,SAC,34.79,0.94,6.92,-0.59,17.00,1.63,10.43,31.95,20.98,14.34,19.15,93.49
1,3,17,MIN,POR,34.51,0.90,5.57,0.76,18.30,1.30,10.00,30.76,20.74,15.51,20.43,92.88
1,3,18,NJN,UTA,31.44,1.03,6.20,0.18,16.91,2.00,10.68,31.66,20.12,16.57,19.28,86.00
1,3,19,NOK,HOU,32.93,-0.25,6.48,0.33,16.44,1.40,12.44,31.55,21.02,16.89,20.25,88.78
1,3,20,NYK,IND,34.26,-1.60,5.59,-0.35,16.51,0.95,11.40,31.90,22.28,18.22,22.08,90.62
1,3,21,ORL,ATL,33.26,-2.23,6.99,-1.58,16.60,-0.41,11.05,30.96,21.66,16.02,21.15,90.11
1,3,22,PHI,MIA,35.79,0.72,7.66,-1.10,17.61,0.33,11.63,27.96,22.53,13.89,21.56,96.85
1,3,23,PHX,UTA,34.08,1.65,7.46,-0.76,19.19,1.06,10.86,30.82,23.14,13.32,22.62,94.81
1,3,24,POR,MIN,33.67,-0.59,7.00,-0.13,16.59,1.27,12.54,31.21,21.08,13.57,18.59,90.93
1,3,25,SAC,MIL,34.93,0.01,6.36,-0.08,14.92,0.94,11.04,32.02,20.93,13.86,21.50,91.15
1,3,26,SAS,TOR,37.11,0.26,8.24,-1.55,16.18,1.34,10.04,32.82,21.73,14.29,20.51,98.64
1,3,27,SEA,LAL,38.60,0.30,8.85,-0.09,18.71,1.33,10.03,29.82,21.74,13.55,20.64,104.75
1,3,28,TOR,SAS,38.55,-0.09,8.45,-1.49,20.63,1.06,11.43,29.77,21.58,12.74,20.64,106.18
1,3,29,UTA,GSW,38.98,2.19,4.32,-0.39,20.87,1.19,10.96,29.61,24.56,15.55,23.76,103.16
1,3,30,WAS,ORL,33.64,3.02,4.56,1.59,16.12,1.82,6.77,28.35,19.68,16.81,20.37,87.96
1,4,1,ATL,CLE,35.25,3.29,7.44,1.40,15.82,1.27,11.00,28.39,23.49,18.57,19.07,93.75
1,4,2,BOS,CHA,43.32,-0.13,12.65,0.11,19.80,-0.97,9.37,34.70,24.35,20.05,20.65,119.08
1,4,3,CHA,BOS,38.50,0.42,8.03,-0.73,20.83,0.73,9.72,31.40,22.62,15.74,21.67,105.86
1,4,4,CHI,MIL,36.64,0.24,6.71,0.06,17.74,1.17,11.03,30.33,21.38,15.46,20.96,97.72
1,4,5,CLE,ATL,35.35,0.00,7.78,-0.24,17.83,0.74,10.76,32.11,19.89,14.31,18.64,96.31
1,4,6,DAL,LAC,36.18,-0.65,6.65,-0.46,17.21,0.64,9.72,30.55,19.94,12.95,18.34,96.21
1,4,7,DEN,PHI,38.18,-0.62,7.28,-0.44,18.00,0.59,10.90,29.92,22.23,12.74,21.38,101.64
1,4,8,DET,UTA,36.34,-1.06,6.42,-0.05,18.40,1.42,9.43,29.89,22.44,12.77,21.39,97.50
1,4,9,GSW,DAL,35.67,-0.76,7.21,-0.00,17.78,1.65,9.97,31.35,21.77,14.86,22.24,96.32
1,4,10,HOU,MEM,33.94,-0.69,8.24,0.50,18.68,1.61,9.95,31.81,22.33,13.94,21.08,94.80
1,4,11,IND,PHI,36.12,0.81,5.68,0.15,17.98,2.17,9.79,31.01,22.94,15.48,22.32,95.91
1,4,12,LAC,POR,36.25,-0.26,4.51,-0.04,18.79,0.81,10.70,30.94,22.42,15.15,21.49,95.81
1,4,13,LAL,SEA,34.00,0.46,6.15,0.40,17.02,1.85,11.50,31.81,21.42,16.55,23.67,91.16
1,4,14,MEM,HOU,30.42,-0.26,4.78,-0.67,16.86,0.70,10.17,28.82,22.19,14.62,22.09,82.47
1,4,15,MIA,SEA,30.56,-1.27,6.37,0.33,16.10,0.27,10.12,29.06,21.23,14.70,18.76,83.60
1,4,16,MIL,CHI,32.46,-0.05,4.55,-0.07,15.89,0.78,10.33,30.33,19.86,15.38,18.60,85.37
1,4,17,MIN,SAC,33.23,0.57,4.45,1.30,15.34,1.69,11.60,28.86,19.90,16.22,18.15,86.24
1,4,18,NJN,MIA,34.61,0.63,6.54,1.16,16.71,1.40,11.43,30.22,20.98,16.06,17.99,92.47
1,4,19,NOK,GSW,35.78,-0.42,7.71,1.34,17.32,2.04,10.93,31.70,21.01,16.08,18.69,96.59
1,4,20,NYK,SAS,36.45,0.55,8.04,1.08,17.59,2.31,10.89,32.40,21.31,14.40,21.46,98.52
1,4,21,ORL,WAS,36.37,-1.36,7.64,1.98,16.32,2.92,9.94,30.32,21.01,15.40,20.93,96.69
1,4,22,PHI,IND,35.44,0.12,6.05,0.82,17.47,1.97,10.73,27.01,22.19,12.77,19.88,94.41
1,4,23,PHX,LAC,35.44,1.59,8.22,-0.12,17.25,1.04,10.83,30.29,21.81,13.38,20.79,96.36
1,4,24,POR,LAC,34.67,-1.97,6.81,0.61,17.82,1.70,9.61,28.53,19.92,14.73,20.91,93.97
1,4,25,SAC,MIN,34.60,-1.30,7.19,0.35,17.04,1.31,9.97,28.26,20.82,15.01,18.78,93.43
1,4,26,SAS,NYK,35.19,0.06,8.42,-0.97,17.57,-0.32,9.60,30.14,22.73,14.19,20.72,96.37
1,4,27,SEA,MIA,34.32,0.38,7.65,0.67,18.53,1.38,9.87,30.05,19.92,13.51,20.42,94.81
1,4,28,TOR,PHI,36.73,-0.80,7.88,-0.84,18.50,0.98,10.05,29.41,19.98,13.32,20.60,99.83
1,4,29,UTA,DET,41.51,0.22,6.31,0.42,21.59,3.18,9.57,32.56,23.55,13.44,23.70,110.93
1,4,30,WAS,IND,36.73,1.44,6.89,3.02,16.38,2.51,10.65,31.65,19.45,12.32,19.09,96.73
1,5,1,ATL,TOR,34.07,1.12,7.97,1.82,16.13,2.14,14.76,30.10,18.80,17.57,15.24,92.23
1,5,2,BOS,UTA,40.17,-0.49,9.87,3.65,15.74,-0.49,11.58,33.16,22.05,17.99,19.85,105.95
1,5,3,CHA,SEA,34.57,-0.76,9.35,1.90,18.88,1.31,12.30,31.87,22.20,15.73,20.60,97.37
1,5,4,CHI,CLE,36.28,-0.96,9.11,1.97,17.32,1.63,12.66,29.19,22.26,14.31,18.64,98.98
1,5,5,CLE,CHI,40.12,-1.45,8.18,2.13,18.51,1.04,11.88,32.58,22.92,14.27,18.21,106.92
1,5,6,DAL,PHX,39.37,-2.13,10.26,0.87,20.47,0.80,10.14,30.75,21.99,13.35,18.74,109.47
1,5,7,DEN,CHA,37.77,-0.86,8.46,0.65,18.31,0.44,13.14,29.03,21.95,13.70,21.63,102.32
1,5,8,DET,SAC,35.73,-0.01,8.94,2.43,18.54,0.82,11.42,29.33,21.12,14.75,22.60,98.94
1,5,9,GSW,NOK,34.53,0.77,8.53,2.69,16.01,0.38,11.28,30.27,20.05,15.81,21.28,93.61
1,5,10,HOU,MIL,33.79,1.39,8.60,2.44,16.25,0.68,11.08,31.82,21.27,16.79,22.19,92.42
1,5,11,IND,WAS,35.39,0.43,7.33,2.21,17.12,0.92,11.18,32.91,22.36,16.32,21.18,95.22
1,5,12,LAC,DAL,37.07,-0.50,7.11,2.74,17.68,0.62,12.49,30.94,22.64,17.74,20.97,98.94
1,5,13,LAL,MIN,38.18,1.33,8.53,1.90,18.65,1.15,13.54,32.35,22.94,16.93,20.33,103.55
1,5,14,MEM,PHX,34.98,-0.04,8.72,1.59,17.87,0.56,11.47,31.10,21.62,15.38,21.66,96.55
1,5,15,MIA,NJN,36.50,-0.65,9.40,1.84,17.82,1.12,11.15,28.89,21.97,15.69,21.10,100.23
1,5,16,MIL,HOU,35.55,-1.99,7.24,0.86,17.47,1.45,10.63,29.81,21.70,15.68,19.97,95.81
1,5,17,MIN,LAL,36.87,-1.44,8.47,1.66,18.55,2.56,10.90,30.76,22.69,15.24,20.36,100.76
1,5,18,NJN,WAS,39.33,-2.54,9.69,2.61,18.50,2.26,9.93,31.85,23.38,15.65,20.84,106.85
1,5,19,NOK,GSW,41.16,-0.73,10.17,2.36,19.90,2.59,11.77,32.27,23.05,15.75,22.62,112.40
1,5,20,NYK,DEN,39.10,0.04,10.11,2.00,18.96,0.14,12.65,32.71,22.51,16.76,21.92,107.27
1,5,21,ORL,SEA,38.61,0.01,10.16,2.35,20.47,0.54,10.80,30.24,21.17,15.62,21.31,107.84
1,5,22,PHI,TOR,37.82,-0.52,7.73,2.73,18.85,1.81,10.86,31.03,20.79,13.54,21.99,102.21
1,5,23,PHX,SAS,40.68,-0.09,8.72,2.34,18.89,1.02,10.76,33.85,22.53,14.83,20.47,108.97
1,5,24,POR,LAL,38.57,-0.09,8.22,0.46,19.55,0.63,9.29,31.17,20.00,13.03,21.42,104.91
1,5,25,SAC,DET,38.41,-0.12,8.40,1.21,18.69,0.93,10.88,31.31,20.21,14.10,21.82,103.90
1,5,26,SAS,PHX,37.28,0.54,8.15,2.30,18.42,1.56,11.57,31.90,21.10,15.66,20.26,101.14
1,5,27,SEA,ORL,35.15,0.03,8.48,2.54,17.48,0.83,11.77,31.35,21.19,14.81,19.19,96.26
1,5,28,TOR,ATL,36.32,-1.12,9.21,0.38,17.04,0.98,12.38,29.44,23.32,15.37,19.93,98.90
1,5,29,UTA,NJN,37.73,0.67,8.36,0.55,18.93,1.86,12.64,30.80,21.36,16.79,23.29,102.74
1,5,30,WAS,MIL,29.38,1.81,6.44,4.12,15.91,2.37,17.94,26.10,15.85,15.74,19.21,81.11
2,1,1,ATL,NYK,22.91,9.20,6.76,2.39,9.41,4.34,7.99,31.15,23.67,15.86,18.06,61.99
2,1,2,BOS,DET,34.58,5.24,2.98,1.15,17.08,2.13,7.38,34.90,25.30,12.68,21.67,89.22
2,1,3,CHA,MEM,36.73,2.43,4.13,1.01,16.67,2.16,8.73,33.63,26.18,13.78,22.11,94.25
2,1,4,CHI,ORL,35.86,2.71,4.68,-1.30,15.09,0.27,7.83,29.72,24.55,14.96,21.35,91.49
2,1,5,CLE,SAS,35.04,1.84,5.79,0.80,16.97,0.36,8.93,29.39,22.08,15.46,20.68,92.84
2,1,6,DAL,HOU,34.35,3.15,7.12,-0.60,17.60,0.78,9.91,31.78,20.84,14.14,19.70,93.41
2,1,7,DEN,MIN,36.68,2.22,6.94,-0.16,17.45,0.70,10.50,33.77,23.23,13.66,19.73,97.74
2,1,8,DET,BOS,36.83,2.49,6.99,-0.24,18.51,0.66,10.11,33.63,23.03,13.04,19.70,99.17
2,1,9,GSW,POR,35.82,2.86,7.36,0.47,17.97,1.90,11.16,33.79,21.78,15.61,20.68,96.98
2,1,10,HOU,DAL,35.72,2.52,6.82,0.21,18.94,1.02,10.38,31.51,23.93,14.77,21.19,97.20
2,1,11,IND,NOK,34.95,2.38,6.99,0.09,17.33,1.34,10.04,30.97,23.62,14.41,22.21,94.23
2,1,12,LAC,DEN,36.13,2.47,8.37,-0.39,17.47,1.11,10.19,31.51,22.19,15.21,21.26,98.09
2,1,13,LAL,GSW,34.80,3.02,9.55,-0.25,21.39,1.33,12.06,30.76,23.44,14.77,21.55,100.53
2,1,14,MEM,CHA,34.66,0.54,7.09,-0.70,20.56,0.91,12.29,27.57,23.34,15.22,20.90,96.98
2,1,15,MIA,NJN,35.73,2.04,5.74,-0.24,16.93,0.03,11.07,30.45,22.01,13.93,19.86,94.13
2,1,16,MIL,TOR,36.77,3.61,5.26,-0.55,14.53,1.82,9.87,31.85,22.04,14.64,18.69,93.32
2,1,17,MIN,DEN,36.77,0.98,5.81,-0.41,16.03,0.10,9.82,31.49,21.95,13.41,19.86,95.37
2,1,18,NJN,MIA,36.64,0.79,6.47,0.87,16.57,2.15,9.42,32.67,20.56,13.95,19.28,96.31
2,1,19,NOK,IND,36.95,1.79,7.49,-0.87,18.52,1.21,10.36,32.88,21.75,14.86,19.52,99.90
2,1,20,NYK,ATL,37.69,1.72,6.67,-0.75,17.96,0.74,9.87,31.23,22.43,14.12,20.55,100.01
2,1,21,ORL,PHI,36.38,1.63,7.32,-2.26,17.50,0.83,9.77,30.62,23.88,13.93,21.57,97.59
2,1,22,PHI,ORL,35.18,2.24,7.38,-0.69,17.98,-0.01,9.51,28.07,23.82,13.54,22.61,95.72
2,1,23,PHX,LAC,34.76,5.34,7.39,0.29,19.88,1.04,10.97,28.74,23.35,14.65,22.26,96.80
2,1,24,POR,GSW,33.46,1.47,6.95,-0.42,16.70,-0.57,11.49,29.53,24.59,14.58,20.95,90.57
2,1,25,SAC,CHI,33.39,1.72,5.89,0.42,17.65,-0.21,9.30,31.71,24.11,17.36,22.21,90.33
2,1,26,SAS,CLE,34.62,2.44,6.84,-1.19,17.26,0.20,9.76,32.75,23.96,16.73,21.78,93.35
2,1,27,SEA,LAL,37.43,3.21,6.57,-0.58,15.93,0.45,10.14,33.42,23.92,13.51,21.20,97.35
2,1,28,TOR,MIL,41.28,3.37,6.36,0.13,16.08,1.13,10.79,33.26,22.57,14.64,21.07,105.00
2,1,29,UTA,PHX,40.18,6.97,5.45,0.63,17.70,4.71,9.63,32.37,27.61,14.48,23.18,103.52
2,1,30,WAS,BOS,28.32,9.68,3.88,2.03,13.75,4.34,6.29,30.08,22.27,15.86,19.57,74.26
2,2,1,ATL,ORL,33.96,4.63,4.77,3.03,14.22,3.48,8.40,32.96,22.72,18.55,19.84,86.90
2,2,2,BOS,WAS,39.65,2.07,10.26,0.12,18.70,1.23,8.30,34.18,23.68,16.34,21.11,108.26
2,2,3,CHA,CLE,36.23,1.34,8.31,0.41,18.91,2.07,11.96,29.76,24.24,17.18,24.23,99.68
2,2,4,CHI,SAC,32.68,0.01,6.01,-0.44,18.64,0.69,11.13,30.48,23.19,13.24,21.71,90.00
2,2,5,CLE,CHA,33.08,1.77,5.35,0.37,20.04,0.49,11.39,30.58,21.02,14.52,20.81,91.55
2,2,6,DAL,GSW,34.69,0.36,6.68,-0.39,18.90,1.30,12.15,30.08,20.35,15.56,20.15,94.97
2,2,7,DEN,NYK,34.62,0.89,6.63,-0.17,19.19,0.73,10.91,30.30,22.90,15.27,20.56,95.05
2,2,8,DET,MEM,33.86,1.85,6.49,-0.38,19.08,1.46,11.32,29.68,22.74,15.75,21.74,93.29
2,2,9,GSW,UTA,33.92,0.45,8.28,-0.69,18.73,1.54,11.01,31.16,21.50,14.80,19.74,94.85
2,2,10,HOU,NOK,35.84,1.53,7.91,0.07,18.73,1.09,10.61,32.22,23.00,15.14,22.40,98.31
2,2,11,IND,NYK,37.31,1.50,7.80,0.56,18.71,1.76,12.31,31.51,22.46,13.03,22.09,101.14
2,2,12,LAC,PHX,37.55,1.44,6.10,0.16,20.56,0.75,12.85,34.99,22.58,13.05,20.04,101.77
2,2,13,LAL,SEA,34.91,1.96,6.79,0.69,20.67,1.35,12.74,35.38,22.91,13.52,21.39,97.28
2,2,14,MEM,DET,33.62,1.18,5.70,0.89,20.57,1.09,12.49,30.82,21.46,12.08,21.49,93.51
2,2,15,MIA,PHI,35.08,1.82,5.98,0.07,16.55,1.39,9.58,31.84,21.42,14.67,20.47,92.70
2,2,16,MIL,SAC,35.18,1.55,7.53,0.19,15.42,1.98,9.40,32.12,21.59,15.41,19.79,93.31
2,2,17,MIN,POR,33.77,1.58,5.31,0.74,16.77,1.68,9.82,30.99,20.98,14.70,19.81,89.63
2,2,18,NJN,UTA,31.28,1.48,5.90,0.81,18.96,1.15,10.21,32.54,20.84,15.96,19.26,87.42
2,2,19,NOK,HOU,33.03,0.32,7.57,1.03,18.64,1.73,11.25,32.08,20.12,15.65,20.03,92.27
2,2,20,NYK,IND,33.96,0.22,5.04,0.18,20.34,0.81,11.27,31.20,20.80,15.85,19.94,93.29
2,2,21,ORL,ATL,34.17,-0.54,7.33,-0.22,19.10,-0.45,11.71,30.29,21.14,15.60,21.71,94.76
2,2,22,PHI,MIA,35.26,1.97,7.11,-0.10,20.07,0.24,12.12,27.46,22.42,13.90,21.70,97.70
2,2,23,PHX,UTA,33.90,2.62,6.23,-0.11,19.79,0.91,11.57,30.21,22.96,13.00,21.55,93.82
2,2,24,POR,MIN,34.18,-0.08,6.47,0.42,18.22,1.05,12.43,31.13,22.04,14.56,20.64,93.05
2,2,25,SAC,MIL,35.62,1.58,6.54,0.30,19.36,-0.11,11.45,33.48,21.14,15.50,22.66,97.15
2,2,26,SAS,TOR,36.67,1.80,8.00,-0.80,17.94,2.09,11.44,33.85,22.54,15.88,21.98,99.28
2,2,27,SEA,LAL,37.01,0.89,9.04,0.40,18.25,2.19,11.14,30.82,22.05,15.91,21.70,101.30
2,2,28,TOR,SAS,37.28,1.02,8.16,-1.18,18.32,0.42,10.50,29.54,20.98,13.05,20.73,101.03
2,2,29,UTA,GSW,37.90,5.30,4.12,1.51,18.23,1.70,12.56,30.14,27.59,14.79,25.07,98.15
2,2,30,WAS,ORL,31.45,7.00,5.91,2.33,11.85,1.77,10.86,29.83,23.37,18.63,20.30,80.66
2,3,1,ATL,CLE,38.51,3.60,7.36,1.86,14.38,2.35,8.18,33.41,26.03,17.60,19.00,98.75
2,3,2,BOS,CHA,43.45,-0.19,14.02,-0.48,19.41,-1.43,8.85,36.49,23.98,19.58,20.89,120.32
2,3,3,CHA,BOS,40.28,0.26,9.30,-1.35,19.45,0.83,12.47,31.03,22.04,16.27,21.94,109.31
2,3,4,CHI,MIL,36.89,0.87,6.68,-0.04,17.89,1.08,12.35,31.08,21.26,15.50,22.12,98.34
2,3,5,CLE,ATL,35.02,0.75,7.54,-1.11,17.76,0.78,11.72,31.86,21.09,14.24,20.27,95.35
2,3,6,DAL,LAC,36.36,-0.43,6.95,-0.76,16.90,0.68,12.87,31.58,20.70,13.14,18.81,96.56
2,3,7,DEN,PHI,37.64,0.39,8.20,-1.20,18.27,0.04,11.45,30.61,22.28,12.17,21.44,101.75
2,3,8,DET,UTA,36.97,-0.29,6.98,-0.91,18.25,0.83,11.48,31.05,21.82,14.24,20.06,99.17
2,3,9,GSW,DAL,35.88,-1.16,8.28,-0.46,17.34,1.42,11.59,31.42,20.92,16.00,21.39,97.38
2,3,10,HOU,MEM,34.29,0.73,7.34,-0.63,18.11,0.70,11.05,32.86,21.63,15.19,20.74,94.03
2,3,11,IND,PHI,36.08,1.05,6.13,0.48,18.45,1.93,10.38,30.14,22.56,15.61,19.70,96.74
